Title,Date,Type,Country,Report No,PDF Link
Burkina Faso - Solar Energy and Access Project,2021-05-21T04:00:00Z,Project Appraisal Document,Burkina Faso,PAD3364,http://documents.worldbank.org/curated/en/988101624586517351/pdf/Burkina-Faso-Solar-Energy-and-Access-Project.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-03-01T05:00:00Z,Procurement Plan,Pakistan,STEP45794,http://documents.worldbank.org/curated/en/594691614617545236/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-09-27T04:00:00Z,Procurement Plan,Pakistan,STEP54823,http://documents.worldbank.org/curated/en/940691632729390982/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-10-26T04:00:00Z,Procurement Plan,Pakistan,STEP56129,http://documents.worldbank.org/curated/en/946181635232682694/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-06-09T04:00:00Z,Procurement Plan,Pakistan,STEP50305,http://documents.worldbank.org/curated/en/889281623266804625/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-09-07T04:00:00Z,Procurement Plan,Pakistan,STEP53912,http://documents.worldbank.org/curated/en/881171631003146423/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
Comoros - Solar Energy Integration Platform Project,2021-11-10T05:00:00Z,Note on Cancelled Operation,Comoros,NCO5646,http://documents.worldbank.org/curated/en/402891638456551251/pdf/Comoros-Solar-Energy-Integration-Platform-Project.pdf
Pakistan - SOUTH ASIA- P159712- Sindh Solar Energy Project - Procurement Plan,2021-11-03T04:00:00Z,Procurement Plan,Pakistan,STEP56534,http://documents.worldbank.org/curated/en/832781635948685312/pdf/Pakistan-SOUTH-ASIA-P159712-Sindh-Solar-Energy-Project-Procurement-Plan.pdf
India - SOUTH ASIA - P155007 - Grid-Connected Rooftop Solar Program - Audited Financial Statement,2021-08-05T04:00:00Z,Auditing Document,India,SCA0064701,http://documents.worldbank.org/curated/en/449891635416540096/pdf/India-SOUTH-ASIA-P155007-Grid-Connected-Rooftop-Solar-Program-Audited-Financial-Statement.pdf
Project Information Document - Solar Energy and Access Project - P166785,2021-04-23T04:00:00Z,Project Information Document,Burkina Faso,PIDA26920,http://documents.worldbank.org/curated/en/151011619167138309/pdf/Project-Information-Document-Solar-Energy-and-Access-Project-P166785.pdf
Burundi - AFRICA EAST- P164435- Solar Energy in Local Communities - Procurement Plan,2021-06-11T04:00:00Z,Procurement Plan,Burundi,STEP50435,http://documents.worldbank.org/curated/en/658021623440225174/pdf/Burundi-AFRICA-EAST-P164435-Solar-Energy-in-Local-Communities-Procurement-Plan.pdf
Tanzania - AFRICA EAST- P161757-  Accelerating Solar Water Pumping via Innovative Financing - Procurement Plan,2021-04-20T04:00:00Z,Procurement Plan,Tanzania,STEP48038,http://documents.worldbank.org/curated/en/662961618906734205/pdf/Tanzania-AFRICA-EAST-P161757-Accelerating-Solar-Water-Pumping-via-Innovative-Financing-Procurement-Plan.pdf
Disclosable Version of the ISR - Grid-Connected Rooftop Solar Program - P155007 - Sequence No : 11,2021-10-08T04:00:00Z,Implementation Status and Results Report,India,ISR47593,http://documents.worldbank.org/curated/en/451191633708698124/pdf/Disclosable-Version-of-the-ISR-Grid-Connected-Rooftop-Solar-Program-P155007-Sequence-No-11.pdf
