"Fund ID","Fund name","The fund",Website,"Investment name","Investment type","Start date","End date","Instrument currency","USD Amount","Project number",Sector,"Sub sector",Region,Country,Domicile,"Environmental and social risk","Our Investment","Environmental and social summary",What,"How Primary","How Secondary","Who Stakeholder 1","Who Geography 1","Who Characteristics 1","Who Stakeholder 2","Who Geography 2","Who Characteristics 2","Who Stakeholder 3","Who Geography 3","Who Characteristics 3",Scale,Depth/Duration,Gridscore,Contribution/Additionality,"Risk 1","Risk comment 1","Risk 2","Risk comment 2","Risk 3","Risk comment 3","Sustainable Development Goals","Impact Achieved","Impact Score","Expected impact","2X Gender Finance","2X Gender Finance Percentage","2X Sector","2X Country","Climate Finance status","Climate Finance Percentage","Climate Finance type","Climate Finance Total","Climate Finance Adaptation Enabling","Climate Finance Adaptation Adapted","Climate Finance Mitigation","Climate Finance Dual","Climate Finance Percentage Adaptation Enabling","Climate Finance Percentage Adaptation Adapted","Climate Finance Percentage Mitigation","Climate Finance Percentage Dual","Fossil Fuel or Renewable Exposure","Primary Energy type","Energy value chain","Entrepreneurship Founder","Entrepreneurship Founder threshold","Entrepreneurship Owner","Entrepreneurship Owner threshold","Leadership Board of Directors Investment Committee","Leadership Board of Directors Investment Committee threshold","Leadership Senior Management","Leadership Senior Management threshold",Employment,"Employment threshold","Indirect Portfolio","Indirect Portfolio threshold","Governance and accountability","Supply chain","Product and services","Product and services threshold","First disclosed date","Investment policy","Last updated",Status
F2062,"3one4 Capital - Fund III","The fund targets technology and technology-enabled companies whose disruptive solutions have the potential to reach large parts of the Indian population. These companies can help to increase economic opportunities and market participation for consumers, employees, and suppliers.",https://www.3one4capital.com/,"Investment 02",Fund,08/07/2021,,INR,10071351.1800,D4638,"Business and consumer services, Education, Financial services, Food and agriculture, Health, Manufacturing, Technology and telecoms",,"South Asia",India,India,,"This investment is part of our strategy to (i) support the local entrepreneurial ecosystem in our markets in order to build new businesses which create jobs, and; (ii) provide us access to early-stage companies that have the potential to create transformational impact at scale. 3one4 Fund III will invest in highly scalable start-ups of which a subset are expected to reach low-income Indian suppliers, employees, and consumers.","We agreed with the fund manager to develop and implement an ESMS.","- Provide income-generating opportunities (SDG 8.5). - Enhance economic participation and well-being by providing access to financial services (SDG 8.10). - Improve access to quality and affordable healthcare (SDG 3.8).","- Investments in platforms solving for market fragmentation and reconciling supply and demand. - Investments in fintech businesses (last-mile payment, insurance, and credit providers). - Investments in health-tech businesses serving underserved areas or driving costs down.","Direct job creation by scaling up to 45 start-ups.","Suppliers and employees","Pan-India – including rural areas","Small-scale suppliers (smallholder farmers) and low-income workers (blue-collar, drivers).","Consumers and small-scale entrepreneurs","Pan-India – focus on rural areas","Primarily underserved populations.",Consumers,"Pan-India – focus on tier II and III cities","Variable - high to lower-income populations based on track record and advanced pipeline.",,,2.3-2.7,"- Financial additionality: We will support the fund in reaching its target fund size, alongside other investors. - Value additionality: We will strengthen environmental and social and business integrity processes to reduce execution risk and negative impact. We will pilot tech-based impact measurement to inform follow-ons.","Alignment Risk","- The impact case relies on the fund's ability to identify businesses that are a good fit with our impact objectives.","Execution Risk","- Relates to the risk that portfolio companies will fail to scale and deliver on the expected impact.",,,"Goal 3: Good health and well-being,Goal 8: Decent work and economic growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F2062,"3one4 Capital - Fund III","The fund targets technology and technology-enabled companies whose disruptive solutions have the potential to reach large parts of the Indian population. These companies can help to increase economic opportunities and market participation for consumers, employees, and suppliers.",https://www.3one4capital.com/,"Investment 01",Fund,09/02/2022,,INR,5025858.7400,D5841,"Business and consumer services, Education, Financial services, Food and agriculture, Health, Manufacturing, Technology and telecoms",,"South Asia",India,India,Low,"This investment is part of our strategy to (i) support the local entrepreneurial ecosystem in our markets in order to build new businesses which create jobs, and; (ii) provide us access to early-stage companies that have the potential to create transformational impact at scale. 3one4 Fund III will invest in highly scalable start-ups of which a subset are expected to reach low-income Indian suppliers, employees, and consumers.","We agreed with the fund manager to develop and implement an ESMS.","- Provide income-generating opportunities (SDG 8.5). - Enhance economic participation and well-being by providing access to financial services (SDG 8.10). - Improve access to quality and affordable healthcare (SDG 3.8).","- Investments in platforms solving for market fragmentation and reconciling supply and demand. - Investments in fintech businesses (last-mile payment, insurance, and credit providers). - Investments in health-tech businesses serving underserved areas or driving costs down.","Direct job creation by scaling up to 45 start-ups.","Suppliers and employees","Pan-India – including rural areas","Small-scale suppliers (smallholder farmers) and low-income workers (blue-collar, drivers).","Consumers and small-scale entrepreneurs","Pan-India – focus on rural areas","Primarily underserved populations.",Consumers,"Pan-India – focus on tier II and III cities","Variable - high to lower-income populations based on track record and advanced pipeline.",,,2.3-2.7,"- Financial additionality: We will support the fund in reaching its target fund size, alongside other investors. - Value additionality: We will strengthen environmental and social and business integrity processes to reduce execution risk and negative impact. We will pilot tech-based impact measurement to inform follow-ons.","Alignment Risk","- The impact case relies on the fund's ability to identify businesses that are a good fit with our impact objectives.","Execution Risk","- Relates to the risk that portfolio companies will fail to scale and deliver on the expected impact.",,,"Goal 3: Good health and well-being,Goal 8: Decent work and economic growth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F2425,"3one4 Capital IFSC Fund","3one4 Fund IV is an early-stage venture fund investing in tech and tech-enabled businesses in India.",https://www.3one4capital.com/,"Investment 01",Fund,28/12/2023,,USD,10000000.0000,D6110,"Construction and real estate, Financial services, Health, Manufacturing, Technology and telecoms",,"South Asia",India,India,Low,"This investment is part of our strategy to (i) support the local entrepreneurial ecosystem in our markets in order to build new businesses which create jobs, and; (ii) provide us access to early-stage companies that have the potential to create transformational impact at scale.  We invested in 3one4 Fund IV, the successor fund to 3one4 Fund III, which we committed to in 2020. The fund manager will focus on sectors including SME digitisation, fintech, software as a service, and digital health. While 3one4 has a broad focus in terms of sector, the fund manager will focus on our key impact theme, as seen in Fund III, such as (i) climate tech – investments in Yulu, Exponent, Fasal; (ii) gender – investments in Salt, Binks, and; (iii) inclusion – investments in Rozana, WeRize and Dozee.","We have supported the manager to build their E&S capacity and management systems.","Improve economic productivity (for B2B businesses) and economic opportunities and quality of life (for B2C clients) through investments in technology-led and innovative companies. In addition, we will create economic opportunities through job creation.","We expect a substantial proportion of investee companies to be aligned with our impact objectives (e.g. healthtech, fintech, mobility, food and agriculture), and that these companies will create jobs through scaling. In addition, we expect the majority of investments to be economic enablers, with positive knock-on effects.",,"Variable depending on nature of businesses (employees, consumers and/or suppliers)",India,"Variable depending on nature of businesses, but we will focus impact monitoring on businesses with substantial low-income reach, targeting underserved populations and/or innovating in the climate space.","Employees of fund investee companies",India,"Employees are likely to be mostly skilled, belonging to middle-income groups, although there should be some semi-skilled, lower-income employees as well.",,,,"Variable, but track record from previous funds demonstrates substantial scale across portfolio: BetterPlace (BII co-investment): 550 enterprise customers/3.5 million jobs processed; Yulu: 275,000 electric vehicle rides/month; Open: 1 million SME customers; Licious: 33,000 farmers integrated into supply chain. Fund II and III companies employ over 9,000 people.","Depth: Variable depending on the nature of the business, although some existing cases of meaningful depth: BetterPlace has seen a 2-3x increase in ‘trust quotient’ and 25-45 per cent increase in wages over three years for surveyed workers; Begin shows 74 per cent improvement in reading scores through early learning education programmes.",,"- Financial additionality: Our capital will help the fund achieve its target size and allow it to make follow on investments, increasing its scale of impact.  - Value additionality: We will continue to provide some value additionality, although it will not be substantial.","Alignment Risk","Relates to the risk that capital is allocated to companies that are not aligned to our impact objectives especially on inclusion. We will use our Venture Capital Scale-Up programme to allocate additional capital to what we believe are the most impactful businesses.","Evidence Risk","Relates to the likelihood that high quality impact data will be unavailable to assess depth of impact. We will explore ways of strengthening impact data collection and reporting with the manager.","Execution Risk","Relates to the risk that businesses will fail to scale and therefore deliver expected impact. These are inherent risks to the venture capital model, which is mitigated by selecting an experienced fund manager.","Goal 8: Decent work and economic growth",,6,,"Fully qualified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,01/03/2024,01/06/2025,Active
F52,"8 Miles","This is a pan-African mid-cap generalist fund.",https://www.8miles.com/,"Investment 01",Fund,02/02/2012,16/10/2024,USD,30000000.0000,D44,"Business and consumer services, Financial services, Food and agriculture, Manufacturing",,Africa,"Egypt, Ethiopia, Ghana, Nigeria, Uganda","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F52,"8 Miles","This is a pan-African mid-cap generalist fund.",https://www.8miles.com/,"Investment 02",Fund,02/08/2013,16/10/2024,USD,4255556.0000,D44,"Business and consumer services, Financial services, Food and agriculture, Manufacturing",,Africa,"Egypt, Ethiopia, Ghana, Nigeria, Uganda","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F53,"A4C S Feeder LP","This is a global large-cap private equity fund.",https://www.act.is/,"Investment 01",Fund,30/09/2013,,USD,100000000.0000,D45,"Business and consumer services, Education, Financial services, Health",,Africa,"Egypt, Kenya, Morocco, Nigeria, South Africa, Tunisia",England,,"In 2013, CDC committed $100m into A4C alongside a mixture of commercial and DFI investors including Washington State Investment Board, the UN, ADIA, and AT&T. A4C is targeting around 20 investments of $30-100m across a range of sectors including healthcare, consumer, industrials and financial services. Although the fund has a geographical scope covering Africa, Asia, and Latin America, CDC's investment only permits investments in Africa and South Asia (excluding India). This investment strategy was pursued in order to maximise our impact on our core geographies.","The fund manager has a well-established approach to environmental and social management and we will continue to support and monitor its approach as the portfolio grows.",,,,,,,,,,,,,,,,,,,,,,,,,,"A4C will focus on the themes of domestic consumption driven by the rapid expansion of the consumer class, investment in the creation of social infrastructure, for example healthcare and education, and in companies servicing physical infrastructure assets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F1315,"Aavishkaar Emerging India Fund","The Aavishkaar Bharat Fund (ABF) was set up in 2001 to invest in early stage companies targeting under-served areas in India. 

ABF invests in businesses with high social impact in sectors such as agriculture, financial services, healthcare, waste, sanitation, renewable energy and logistics.

Its funds have made 58 investments across India, Indonesia, Sri Lanka and Bangladesh. Those investments have generated 250,000 jobs and livelihoods and reach 70m beneficiaries, of which more than 50 per cent are women.",https://aavishkaarcapital.in/,"Investment 01",Fund,14/11/2017,,USD,25000000.0000,D2610,"Business and consumer services, Financial services, Food and agriculture, Technology and telecoms",,"South Asia",India,Mauritius,,"In late 2017, CDC committed $25 million to the fund, which will provide much-needed capital to early stage businesses in parts of India that have been overlooked by the investment community.","The fund manager has a well-established approach to environmental and social management and we will continue to support and monitor its approach as the portfolio grows.",,,,,,,,,,,,,,,,,,,,,,,,,,"Our investment will enable ABF to continue supporting companies that are providing innovative ways of reaching rural areas where the population has limited access to affordable goods and services, servicing the ‘last mile’ in the supply chain.  Its previous investments, for example, include Milk Mantra, a dairy supply chain that manufactures dairy products in Orissa. The business sources from 46,000 smallholder farmers across 400 local collection centres. The milk is then transported to chillers and finally to a processing plant via insulated trucks where it is manufactured into paneer, yoghurt and lassi.  Smallholder farmers sell their milk to Milk Mantra because they are better and more accurately paid, as well as benefiting from advice on best practice from local field officers. Future investments by Aavishkaar are expected to create similar livelihood opportunities to low-income rural communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F57,"Aavishkaar Goodwell India Microfinance Development Company II Limited","Equity fund investing in microfinance companies and adjacent sectors in India e.g. housing businesses and technology based systems for financial inclusion.",https://aavishkaarcapital.in/,"Investment 01",Fund,03/07/2012,,USD,15000000.0000,D46,"Financial services",,"South Asia",India,Mauritius,,,"The residual E&S risk for Aavishkaar Goodwell India is low owing to the company has developed and implemented adequate policy and procedures related to Fair practice code including protect client, fair treatment and UN Principles and the Smart Campaign to measure and report its social performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F2103,"Aavishkaar India Fund VI","Aavishkaar India Fund VI seeks to invest in early-growth companies with strong impact potential across financial inclusion, sustainable agriculture and essential services in India. Aavishkaar has reached  over 8 million underserved people and created over 17,000 jobs through its investments across its previous funds. It remains focused on the low-income population in India. Aavishkaar India Fund VI is a 2X Flagship Fund and has committed to investing in at least 30 per cent of underlying portfolio companies that meet the 2X criteria.",https://aavishkaarcapital.in/,"Investment 01",Fund,17/01/2022,,INR,30725616.8500,D4970,"Business and consumer services, Financial services, Food and agriculture, Infrastructure, Technology and telecoms",,"South Asia",India,India,Medium-Low,"Our investment supports SDGs 1,2, and 8. It promotes enhanced economic opportunities through employment creation and access to markets and other productive resources. It also supports improved quality of life through enhanced access to financial services and other essential goods and services.","We are working closely with the fund manager to improve its existing ESMS including via delivering an ESAP.","Our investment supports SDGs 1,2, and 8. It promotes enhanced economic opportunities through employment creation and access to markets and other productive resources. It also supports improved quality of life through enhanced access to financial services and other essential goods and services","The fund will invest in early-stage/high growth and more mature businesses looking to expand with a core sector focus of financial inclusion, agriculture, and essential services.",,"Employees and suppliers",India,"Low-skilled labour, smallholder farmers (1-2 hectares).",Customers,India,"Underserved segments who were previously either not able to access or afford the good or service.",,,,"We expect at least 1,700 jobs to be created through the fund's investments.","We expect deep impact, particularly for populations with high levels of unemployment and poverty, as well as lack of access to quality goods and services.",,"- Financial additionality: We are an anchor funder, critical to the fund's first close.  - Value additionality: We will seek out opportunities to work with the fund to strengthen their approach to business integrity; environmental, social and governance; and gender and diversity.","Execution Risk","- The primary risk relates to inability to reach a viable fund size and therefore execute on the strategy. This is mitigated by backing a proven fund manager with a strong track record of delivering impact at scale in targeted sectors.",,,,,"Goal 1: No poverty,Goal 2: Zero hunger,Goal 8: Decent work and economic growth",,,,"Fully qualified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F58,"Aavishkaar India II Company Limited","This is an early-stage fund investing in underserved India.",https://aavishkaarcapital.in/,"Investment 01",Fund,30/09/2011,,USD,25000000.0000,D47,"Business and consumer services, Education, Financial services, Food and agriculture, Health, Infrastructure, Manufacturing",,"South Asia",India,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
