"Fund ID","Fund name","Company name","Company ID",Region,Country,Sector,Status,"Fossil fuel or renewable exposure","Start Date","End date"
F2431,"Wavemaker Impact Sub-Fund 1","10ants Enterprise Pte Ltd",C10100,"Rest of the World",Thailand,"Construction and real estate",Active,,31/03/2025,
F2196,"Convergence Partners Digital Infrastructure Fund","42Markets Group Holding Ltd",C8945,"Southern Africa","South Africa","Technology and telecoms",Active,,26/06/2023,
F2126,"Ventures Platform Fund IV","500 Chow",C8656,"West Africa",Nigeria,"Business and consumer services",Active,,01/09/2022,
F1981,"Adjuvant Global Health Technology Fund LP","54Gene, Inc.",C7612,"West Africa",Nigeria,Health,Active,,01/04/2020,
F1004,"Pan African Housing Fund LLC","72 Magadi Road (Hadada)",C2238,"East Africa",Kenya,"Construction and real estate",Exited,,01/01/2015,06/09/2022
F1985,"Stellaris Venture Partners India I","930 Technologies Pvt Ltd (Noticeboard)",C6196,"South Asia",India,"Technology and telecoms",Exited,,28/06/2017,31/03/2022
F950,"New Silk Route Fund I","9X Media Private Ltd",C2239,"South Asia",India,"Business and consumer services",Active,,31/08/2007,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","A4&T Power Solutions Ltd",X0001,"West Africa",Nigeria,Infrastructure,Active,,26/01/2022,
F759,"Insitor Impact Asia Fund Private Limited","Aashiyaan Housing and Development Finance Pvt Ltd",C5898,"South Asia",India,"Construction and real estate",Exited,,12/04/2018,30/09/2024
F1950,"pi Ventures Fund I","Abee Research Labs (P) Lts (SwitchOn)",C6197,"South Asia",India,Manufacturing,Active,,09/05/2019,
F2002,"Techxila Fund I","Abhi Limited (Abhi)",C7789,"South Asia",Pakistan,"Financial services",Active,,22/08/2022,
F2070,"Chiratae Ventures International Fund IV","Abita Innovations Private Limited (Doc32)",C6933,"South Asia",India,Health,Active,,01/11/2020,
F2070,"Chiratae Ventures International Fund IV","Absentia Virtual Reality Private Limited (Pyxis)",C6777,"South Asia",India,"Technology and telecoms",Active,,09/03/2020,
F1950,"pi Ventures Fund I","Absentia Virtual Reality Private Limited (Pyxis)",C6777,"South Asia",India,"Technology and telecoms",Exited,,13/10/2020,31/12/2023
F351,"Capital Alliance Private Equity IV (CAPE IV)","ACA B Holdings Limited/Union Bank",C2245,"West Africa",Nigeria,"Financial services",Active,,07/03/2018,
F1070,"Regional Education Finance Fund for Africa","Access Bank Plc",C6051,"West Africa",Nigeria,"Financial services",Active,,05/03/2024,
F2081,"Green Growth Feeder Fund Pte. Ltd",Accretive,C8560,"South Asia",India,Infrastructure,Active,,30/06/2022,
F1070,"Regional Education Finance Fund for Africa","ACEP Senegal",C10017,"West Africa",Senegal,"Financial services",Active,,31/12/2024,
F139,"Africa Renewable Energy Fund","Achwa 1 & 2",C2355,"East Africa",Uganda,Infrastructure,Active,Renewable,01/10/2014,
F139,"Africa Renewable Energy Fund","Achwa HPP3/4/5",C2255,"East Africa",Uganda,Infrastructure,Active,Renewable,30/09/2015,
F2131,"Bangladesh Managed Account C.V.","ACI Motors Limited",C7469,"South Asia",Bangladesh,Manufacturing,Active,,29/09/2021,
F1968,"Ascent India Fund IV","Acko General Insurance Ltd",C6555,"South Asia",India,"Financial services",Active,,01/11/2019,
F1270,"Ventureast proactive Fund II","Acko Technology & Services Pvt Ltd",C6556,"South Asia",India,"Technology and telecoms",Active,,31/10/2019,
F2132,"Ascent Rift Valley Fund II","Acme Containers Ltd",C8644,"East Africa",Kenya,Manufacturing,Active,,31/12/2022,
F2002,"Techxila Fund I","Adal Financial",C7603,"South Asia",Pakistan,"Financial services",Active,,31/12/2021,
F112,"Adenia Capital III (formerly I&P Capital III)",Ademat,C2263,"West Africa","Cote d'Ivoire",Infrastructure,Exited,"Fossil Fuel",31/07/2016,31/12/2022
F1984,"SPE Capital Africa Industrialisation Fund",Ademat,C2263,"West Africa","Cote d'Ivoire",Infrastructure,Active,"Fossil Fuel",21/04/2021,
F1143,"Solon Capital Holdings","Adesha Limited",C5978,"West Africa","Sierra Leone","Financial services",Exited,,30/06/2018,31/03/2025
F2062,"3one4 Capital - Fund III","Adret Retail Pvt",C7176,"South Asia",India,"Business and consumer services",Active,,31/03/2021,
F1978,"Sawari Ventures North Africa Fund I Cooperatief U.A.","ADVA - First Systems for Integrated Applications",C8006,"North Africa",Egypt,"Technology and telecoms",Exited,,20/04/2022,31/03/2025
F9,"Advans, S.A.","Advans Banque Congo",C2268,"Central Africa","Democratic Republic of Congo","Financial services",Active,,30/09/2008,
F9,"Advans, S.A.","Advans Cameroon",C2270,"Central Africa",Cameroon,"Financial services",Active,,30/09/2008,
F9,"Advans, S.A.","Advans Cote d'Ivoire",C2271,"West Africa","Cote d'Ivoire","Financial services",Active,,04/06/2009,
F1070,"Regional Education Finance Fund for Africa","Advans Cote d'Ivoire",C2271,"West Africa","Cote d'Ivoire","Financial services",Exited,,29/09/2017,31/03/2023
F9,"Advans, S.A.","Advans Ghana",C2272,"West Africa",Ghana,"Financial services",Active,,30/09/2008,
F1070,"Regional Education Finance Fund for Africa","Advans Holding",C9707,"West Africa",Nigeria,"Financial services",Exited,,19/12/2023,31/03/2025
F9,"Advans, S.A.","Advans Nigeria",C2274,"West Africa",Nigeria,"Financial services",Active,,01/06/2012,
F1070,"Regional Education Finance Fund for Africa","Advans Nigeria",C2274,"West Africa",Nigeria,"Financial services",Active,,30/09/2022,
F9,"Advans, S.A.","Advans Tunisia",C2277,"North Africa",Tunisia,"Financial services",Active,,24/09/2013,
F211,"Amicus Capital Partners Private Equity I","Aequs Ltd.",C8854,"South Asia",India,Manufacturing,Active,,31/03/2023,
F2259,"Blume Ventures India Fund IV","Aerem Solutions Private Limited",C8900,"South Asia",India,"Financial services",Active,Renewable,31/03/2022,
F2070,"Chiratae Ventures International Fund IV","Aether Biomedial Sp, Z.o.o",C6778,"South Asia",India,"Technology and telecoms",Active,,24/04/2020,
F768,"Ninety One Africa Credit Opportunities Fund (Investec)","Afrexim Bank Trade Finance MRPA",C926,Africa,Africa,"Financial services",Exited,,30/06/2017,31/12/2020
F1120,"SGI Ethiopia Growth and Transformation Fund","Afri Flowers Holding B.V. (Afriflora)/Flamingo Horticulture Ltd (Flamingo)",C5979,"East Africa",Ethiopia,"Food and agriculture",Active,,08/08/2018,
F768,"Ninety One Africa Credit Opportunities Fund (Investec)","Afri Flowers Holding B.V. (Afriflora)/Flamingo Horticulture Ltd (Flamingo)",C5979,"East Africa",Ethiopia,"Food and agriculture",Exited,,17/03/2020,31/12/2021
F113,"Adenia IV","Africa Biosystems",C7218,"East Africa",Kenya,Health,Active,,01/05/2021,
F768,"Ninety One Africa Credit Opportunities Fund (Investec)","Africa Finance Corporation",C2286,"East Africa",Tanzania,"Financial services",Exited,,31/12/2016,30/09/2020
F1967,"Africa Food Security Fund I","Africa Merchant Capital Trade Finance",C6934,Africa,Africa,"Financial services",Active,,18/11/2020,
F2105,"Metier AMN Partnership LP","Africa Mobile Networks Limited",C7138,Africa,Africa,"Technology and telecoms",Active,,01/07/2021,
F1987,"Metier Sustainable Capital II","Africa Ren",C7257,Africa,"West Africa",Infrastructure,Active,Renewable,30/09/2021,
F2067,"Helios Investors IV","Africa Speciality Risks",C6779,"East Africa",Mauritius,"Financial services",Active,,01/09/2020,
F34,"Synergy Private Equity Fund","Africa Terminaling Company Ltd",C2289,"West Africa",Nigeria,Infrastructure,Exited,"Fossil Fuel",16/02/2016,26/06/2024
F381,"Cauris Croissance II","Africa West Industries (AWI)",C2290,"West Africa","Cote d'Ivoire",Manufacturing,Active,,14/04/2015,
F1188,"Takura II","African Century Real Estate",C2292,"East Africa",Mozambique,"Construction and real estate",Active,,18/11/2015,
F1070,"Regional Education Finance Fund for Africa","African Microfinance Limited",C9586,"East Africa",Tanzania,"Financial services",Active,,29/12/2023,
F238,"Ascent Rift Valley Fund I","African Queen Uganda Holdings Ltd",C2297,"East Africa",Uganda,"Business and consumer services",Active,,31/12/2015,
F2429,"Ninety One Africa Credit Opportunities Fund 3A","Africell Holding Ltd",C937,"West Africa",Gambia,"Technology and telecoms",Active,,31/03/2025,
F2037,"BluePeak Private Capital Fund","Africure Pharmaceuticals Ltd",C7963,Africa,Africa,Health,Active,,01/04/2022,
